"","RowID_","WellNam","County","State","LatDegr","LongDgr","SRS","DrllrTt","TruVrtc","DpthOfM","ElevtnG","LngthUn","MeasrdT","Temprtr","DrllngF","bht_c","WellDepth","MeasrDp","RprtdEl","CRS","coords_x1","coords_x2","BHT","StateID","API_14Dig","coords.x1","coords.x2","optional"
"2499",13996,NA,"Chautauqua","NY",42.03045,-79.11738,"NAD83",4850,0,5032,1590,"ft",111,0,NA,43.89,1533.75,1533.75,484.63,"NAD83",655842.99,4654870.68,49.591628,"NY2502","31013163970000",-79.11738,42.03045,TRUE
"2500",13997,NA,"Chautauqua","NY",42.02921,-79.61444,"NAD83",4375,0,4358,1630,"ft",104,0,NA,40,1328.32,1328.32,496.82,"NAD83",614697.76,4653947.07,43.997337,"NY2503","31013164040000",-79.61444,42.02921,TRUE
"2501",13998,NA,"Chautauqua","NY",42.03466,-79.21526,"NAD83",4510,0,4509,1415,"ft",100,0,NA,37.78,1374.34,1374.34,431.29,"NAD83",647730.48,4655164.46,42.135398,"NY2504","31013164560000",-79.21526,42.03466,TRUE
"2502",13999,NA,"Chautauqua","NY",42.00388,-79.59409,"NAD83",4410,0,4418,1600,"ft",102,0,NA,38.89,1346.61,1346.61,487.68,"NAD83",616428.58,4651162.09,43.027925,"NY2505","31013164580000",-79.59409,42.00388,TRUE
"2503",14000,NA,"Chautauqua","NY",42.03457,-79.20172,"NAD83",4518,0,4529,1420,"ft",103,0,NA,39.44,1380.44,1380.44,432.82,"NAD83",648851.49,4655177.94,43.843928,"NY2506","31013164590000",-79.20172,42.03457,TRUE
"2504",14001,NA,"Chautauqua","NY",42.02733,-79.30563,"NAD83",4383,0,4395,1387,"ft",103,0,NA,39.44,1339.6,1339.6,422.76,"NAD83",640266.07,4654198.46,43.523772,"NY2507","31013164650000",-79.30563,42.02733,TRUE
"2505",14002,NA,"Chautauqua","NY",42.22084,-79.0736,"NAD83",3825,0,3846,1312,"ft",96,0,NA,35.56,1172.26,1172.26,399.9,"NAD83",658990.28,4676091.83,38.453996,"NY2508","31013164690000",-79.0736,42.22084,TRUE
"2506",14003,NA,"Chautauqua","NY",42.21873,-79.08251,"NAD83",3875,0,3870,1323,"ft",97,0,NA,36.11,1179.58,1179.58,403.25,"NAD83",658260.17,4675840.96,39.051774,"NY2509","31013164700000",-79.08251,42.21873,TRUE
"2507",14004,NA,"Chautauqua","NY",42.22331,-79.08698,"NAD83",3977,0,3988,1462,"ft",101,0,NA,38.33,1215.54,1215.54,445.62,"NAD83",657879.81,4676341.22,41.512279,"NY2510","31013164710000",-79.08698,42.22331,TRUE
"2508",14005,NA,"Chautauqua","NY",42.25446,-79.59327,"NAD83",3500,0,3521,1515,"ft",91,0,NA,32.78,1073.2,1073.2,461.77,"NAD83",616038.16,4678986.3,35.067439,"NY2511","31013164730000",-79.59327,42.25446,TRUE
"2509",14006,NA,"Chautauqua","NY",42.27055,-79.58995,"NAD83",3400,0,3367,1410,"ft",93,0,NA,33.89,1026.26,1026.26,429.77,"NAD83",616282.45,4680777.41,35.916492,"NY2512","31013164750000",-79.58995,42.27055,TRUE
"2510",14007,NA,"Chautauqua","NY",42.2667,-79.59291,"NAD83",3423,0,3411,1445,"ft",94,0,NA,34.44,1039.67,1039.67,440.44,"NAD83",616045.41,4680345.88,36.539282,"NY2513","31013164760000",-79.59291,42.2667,TRUE
"2511",14008,NA,"Chautauqua","NY",42.2601,-79.59143,"NAD83",3440,0,3434,1460,"ft",95,0,NA,35,1046.68,1046.68,445.01,"NAD83",616179.59,4679615.05,37.137894,"NY2514","31013164770000",-79.59143,42.2601,TRUE
"2512",14009,NA,"Chautauqua","NY",42.2612,-79.59827,"NAD83",3478,0,3474,1495,"ft",92,0,NA,33.33,1058.88,1058.88,455.68,"NAD83",615613.4,4679727.89,35.536008,"NY2515","31013164780000",-79.59827,42.2612,TRUE
"2513",14010,NA,"Chautauqua","NY",42.26518,-79.60253,"NAD83",3437,0,3447,1465,"ft",94,0,NA,34.44,1050.65,1050.65,446.53,"NAD83",615254.78,4680164.04,36.599931,"NY2516","31013164790000",-79.60253,42.26518,TRUE
"2514",14011,NA,"Chautauqua","NY",42.27302,-79.61418,"NAD83",3336,0,3336,0,"ft",89,0,NA,31.67,1016.81,1016.81,0,"NAD83",614279.78,4681018.87,33.646044,"NY2517","31013164810000",-79.61418,42.27302,TRUE
"2515",14012,NA,"Chautauqua","NY",42.17511,-79.62957,"NAD83",3876,0,3878,1665,"ft",96,0,NA,35.56,1182.01,1182.01,507.49,"NAD83",613185.43,4670126.77,38.517723,"NY2518","31013164820000",-79.62957,42.17511,TRUE
"2516",14013,NA,"Chautauqua","NY",42.17539,-79.6182,"NAD83",3940,0,3949,1690,"ft",98,0,NA,36.67,1203.66,1203.66,515.11,"NAD83",614124,4670173.01,39.771764,"NY2519","31013164850000",-79.6182,42.17539,TRUE
